image_filenames,label_filenames,phase_numbers,slice_numbers
patient001/patient001_4d.nii.gz, , [0], []
patient001/patient001_4d.nii.gz, , [1], []
patient001/patient001_4d.nii.gz, , [2], []
patient001/patient001_4d.nii.gz, , [3], []
patient001/patient001_4d.nii.gz, , [4], []
patient001/patient001_4d.nii.gz, , [5], []
patient001/patient001_4d.nii.gz, , [6], []
patient001/patient001_4d.nii.gz, , [7], []
patient001/patient001_4d.nii.gz, , [8], []
patient001/patient001_4d.nii.gz, , [9], []
patient001/patient001_4d.nii.gz, , [10], []
patient001/patient001_4d.nii.gz, , [11], []
patient001/patient001_4d.nii.gz, , [12], []
patient001/patient001_4d.nii.gz, , [13], []
patient001/patient001_4d.nii.gz, , [14], []
patient001/patient001_4d.nii.gz, , [15], []
patient001/patient001_4d.nii.gz, , [16], []
patient001/patient001_4d.nii.gz, , [17], []
patient001/patient001_4d.nii.gz, , [18], []
patient001/patient001_4d.nii.gz, , [19], []
patient001/patient001_4d.nii.gz, , [20], []
patient001/patient001_4d.nii.gz, , [21], []
patient001/patient001_4d.nii.gz, , [22], []
patient001/patient001_4d.nii.gz, , [23], []
patient001/patient001_4d.nii.gz, , [24], []
patient001/patient001_4d.nii.gz, , [25], []
patient001/patient001_4d.nii.gz, , [26], []
patient001/patient001_4d.nii.gz, , [27], []
patient001/patient001_4d.nii.gz, , [28], []
patient001/patient001_4d.nii.gz, , [29], []
patient021/patient021_4d.nii.gz, , [0], []
patient021/patient021_4d.nii.gz, , [1], []
patient021/patient021_4d.nii.gz, , [2], []
patient021/patient021_4d.nii.gz, , [3], []
patient021/patient021_4d.nii.gz, , [4], []
patient021/patient021_4d.nii.gz, , [5], []
patient021/patient021_4d.nii.gz, , [6], []
patient021/patient021_4d.nii.gz, , [7], []
patient021/patient021_4d.nii.gz, , [8], []
patient021/patient021_4d.nii.gz, , [9], []
patient021/patient021_4d.nii.gz, , [10], []
patient021/patient021_4d.nii.gz, , [11], []
patient021/patient021_4d.nii.gz, , [12], []
patient021/patient021_4d.nii.gz, , [13], []
patient021/patient021_4d.nii.gz, , [14], []
patient021/patient021_4d.nii.gz, , [15], []
patient021/patient021_4d.nii.gz, , [16], []
patient021/patient021_4d.nii.gz, , [17], []
patient021/patient021_4d.nii.gz, , [18], []
patient021/patient021_4d.nii.gz, , [19], []
patient021/patient021_4d.nii.gz, , [20], []
patient021/patient021_4d.nii.gz, , [21], []
patient021/patient021_4d.nii.gz, , [22], []
patient021/patient021_4d.nii.gz, , [23], []
patient021/patient021_4d.nii.gz, , [24], []
patient021/patient021_4d.nii.gz, , [25], []
patient021/patient021_4d.nii.gz, , [26], []
patient021/patient021_4d.nii.gz, , [27], []
patient021/patient021_4d.nii.gz, , [28], []
patient021/patient021_4d.nii.gz, , [29], []
patient041/patient041_4d.nii.gz, , [0], []
patient041/patient041_4d.nii.gz, , [1], []
patient041/patient041_4d.nii.gz, , [2], []
patient041/patient041_4d.nii.gz, , [3], []
patient041/patient041_4d.nii.gz, , [4], []
patient041/patient041_4d.nii.gz, , [5], []
patient041/patient041_4d.nii.gz, , [6], []
patient041/patient041_4d.nii.gz, , [7], []
patient041/patient041_4d.nii.gz, , [8], []
patient041/patient041_4d.nii.gz, , [9], []
patient041/patient041_4d.nii.gz, , [10], []
patient041/patient041_4d.nii.gz, , [11], []
patient041/patient041_4d.nii.gz, , [12], []
patient041/patient041_4d.nii.gz, , [13], []
patient041/patient041_4d.nii.gz, , [14], []
patient041/patient041_4d.nii.gz, , [15], []
patient041/patient041_4d.nii.gz, , [16], []
patient061/patient061_4d.nii.gz, , [0], []
patient061/patient061_4d.nii.gz, , [1], []
patient061/patient061_4d.nii.gz, , [2], []
patient061/patient061_4d.nii.gz, , [3], []
patient061/patient061_4d.nii.gz, , [4], []
patient061/patient061_4d.nii.gz, , [5], []
patient061/patient061_4d.nii.gz, , [6], []
patient061/patient061_4d.nii.gz, , [7], []
patient061/patient061_4d.nii.gz, , [8], []
patient061/patient061_4d.nii.gz, , [9], []
patient061/patient061_4d.nii.gz, , [10], []
patient061/patient061_4d.nii.gz, , [11], []
patient061/patient061_4d.nii.gz, , [12], []
patient061/patient061_4d.nii.gz, , [13], []
patient061/patient061_4d.nii.gz, , [14], []
patient061/patient061_4d.nii.gz, , [15], []
patient061/patient061_4d.nii.gz, , [16], []
patient061/patient061_4d.nii.gz, , [17], []
patient061/patient061_4d.nii.gz, , [18], []
patient061/patient061_4d.nii.gz, , [19], []
patient061/patient061_4d.nii.gz, , [20], []
patient061/patient061_4d.nii.gz, , [21], []
patient061/patient061_4d.nii.gz, , [22], []
patient061/patient061_4d.nii.gz, , [23], []
patient061/patient061_4d.nii.gz, , [24], []
patient061/patient061_4d.nii.gz, , [25], []
patient061/patient061_4d.nii.gz, , [26], []
patient061/patient061_4d.nii.gz, , [27], []
patient061/patient061_4d.nii.gz, , [28], []
patient061/patient061_4d.nii.gz, , [29], []
patient081/patient081_4d.nii.gz, , [0], []
patient081/patient081_4d.nii.gz, , [1], []
patient081/patient081_4d.nii.gz, , [2], []
patient081/patient081_4d.nii.gz, , [3], []
patient081/patient081_4d.nii.gz, , [4], []
patient081/patient081_4d.nii.gz, , [5], []
patient081/patient081_4d.nii.gz, , [6], []
patient081/patient081_4d.nii.gz, , [7], []
patient081/patient081_4d.nii.gz, , [8], []
patient081/patient081_4d.nii.gz, , [9], []
patient081/patient081_4d.nii.gz, , [10], []
patient081/patient081_4d.nii.gz, , [11], []
patient081/patient081_4d.nii.gz, , [12], []
patient081/patient081_4d.nii.gz, , [13], []
patient081/patient081_4d.nii.gz, , [14], []
patient081/patient081_4d.nii.gz, , [15], []
